Name,Street,Suburb,City,Region,Longitude,Latitude
Heathcote Valley School,Bridle Path Road,Heathcote Valley,Christchurch,Canterbury,172.70887,-43.579871
Heaton Normal Intermediate,Heaton Street,Merivale,Christchurch,Canterbury,172.615399,-43.510409
Highfield School,Rimu Street,,Timaru,Canterbury,171.213459,-44.390399
Hinds School,50 Reed Street,Hinds,Ashburton,Canterbury,171.565264,-44.000908
Hokitika School,230 Park Street,,Hokitika,West Coast,170.980594,-42.718997
Hoon Hay School,91 Sparks Road,Hoon Hay,Christchurch,Canterbury,172.606589,-43.564861
Hornby Primary School,190 Waterloo Road,Hornby,Christchurch,Canterbury,172.522624,-43.538702
Hororata School,2548 Bealey Road,Hororata,Darfield,Canterbury,171.959645,-43.539445
Ilam School,66 Ilam Road,Ilam,Christchurch,Canterbury,172.579688,-43.526408
Isleworth School,59A Farrington Avenue,Bishopdale,Christchurch,Canterbury,172.582115,-43.493102
Kaingaroa School (Chatham Islands),Kaingaroa Road,,Chatham Islands,Area Outside,,
Kaiapoi Borough School,20 Hilton Street,,Kaiapoi,Canterbury,172.651459,-43.379057
Kaiapoi North School,278 Williams Street,,Kaiapoi,Canterbury,172.663607,-43.375952
Kaikoura Primary School,19 Torquay Street,Esplanade,Kaikoura,Canterbury,173.684073,-42.408021
Kaikoura Suburban School,425 Schoolhouse Road,,Kaikoura,Canterbury,173.638318,-42.371689
Kaniere School,16 Camp Street,Kaniere,Hokitika,West Coast,171.00586,-42.746194
Karoro School,Main South Road,,Greymouth,West Coast,171.18674,-42.475871
Kirkwood Intermediate,260 Riccarton Road,Riccarton,Christchurch,Canterbury,172.585493,-43.530602
Kirwee Model School,School Lane,,Kirwee,Canterbury,172.218153,-43.496669
Kokatahi-Kowhitirangi School,Upper Kokatahi Road,,Hokitika,West Coast,171.037749,-42.834252
Kumara School,68 Fifth Street,,Kumara,West Coast,171.187377,-42.635654
Ladbrooks School,9 Barnes Road,,Ladbrooks,Canterbury,172.532321,-43.617664
Lake Tekapo School,Aorangi Crescent,,Lake Tekapo,Canterbury,170.474793,-44.005058
Lauriston School,Church Street,Lauriston,Ashburton,Canterbury,171.778565,-43.730729
Leeston School,Selwyn Street,,Leeston,Canterbury,172.297563,-43.760747
Leithfield School,Old Main Road,,Amberley,Canterbury,172.740028,-43.197809
Lincoln Primary School,130 North Belt,,Lincoln,Canterbury,172.487091,-43.6371
Linwood Avenue School,260 Linwood Avenue,Linwood,Christchurch,Canterbury,172.674872,-43.535279
Whitau School,221 Woodham Road,Linwood,Christchurch,Canterbury,172.675784,-43.524843
Little River School,46 Western Valley Road,,Little River,Canterbury,172.795478,-43.763792
Loburn School,73 Hodgsons Road,Loburn,Rangiora,Canterbury,172.530066,-43.250117
Mairehau Primary School,43 Mahars Road,,Christchurch,Canterbury,172.641407,-43.498705
Makikihi School,12 Makikihi Station Road,,Makikihi,Canterbury,171.142233,-44.632034
Marshland School,11 Te Korari Street,Marshland,Christchurch,Canterbury,172.66474,-43.472023
Mayfield School (Mid-Canterbury),14 Lismore Mayfield Road,,Ashburton,Canterbury,171.421321,-43.823437
Merrin School,41 Merrin Street,Avonhead,Christchurch,Canterbury,172.558571,-43.510492
Methven School,McDonald Street,,Methven,Canterbury,171.648767,-43.636948
Mt Somers Springburn School,Ashburton Gorge Road,Mount Somers,Ashburton,Canterbury,171.402375,-43.704783
Aoraki Mount Cook School,5 Sebastopol Drive,,Mt Cook,Canterbury,170.099851,-43.738175
Mt Pleasant School,82 Major Hornbrook Road,Mt Pleasant,Christchurch,Canterbury,172.715918,-43.562443
New Brighton Catholic School (Chch),100 Lonsdale Street,New Brighton,Christchurch,Canterbury,172.723715,-43.505937
North Loburn School,813 Loburn Whiterock Road,,Loburn North,Canterbury,172.493833,-43.2076
Northcote School (Christchurch),26 Tuckers Road,Redwood,Christchurch,Canterbury,172.614001,-43.47936
Oaklands School,Cunningham Place,Halswell,Christchurch,Canterbury,172.564642,-43.571578
Ohoka School,Jacksons Road,,Kaiapoi,Canterbury,172.590546,-43.370159
Okains Bay School,"Okains Bay Road, RD 3",,Okains Bay,Canterbury,173.042729,-43.708867
Omihi School,990 Omihi Road,,Hurunui,Canterbury,172.853622,-43.022137
Opawa School,Ford Road,Opawa,Christchurch,Canterbury,172.664482,-43.555657
Our Lady of the Assumption School (Chch),89 A Sparks Road,Hoon Hay,Christchurch,Canterbury,172.607072,-43.564783
Our Lady of the Snows School (Methven),Main Road,,Methven,Canterbury,171.646499,-43.639827
Our Lady of Victories,106 Main South Road,Sockburn,Christchurch,Canterbury,172.559117,-43.536211
Ouruhia Model School,21 Turners Road,Ouruhia,Christchurch,Canterbury,172.660379,-43.444593
Papanui School,40 Winters Road,Papanui,Christchurch,Canterbury,172.619719,-43.48802
Paparoa Street School,120 Paparoa Street,Papanui,Christchurch,Canterbury,172.619578,-43.49965
Parkview Parua,Chadbury Street,Parklands,Christchurch,Canterbury,172.705623,-43.480595
Paroa School (Greymouth),494 Main South Road,Paroa,Greymouth,West Coast,171.168468,-42.50969
Pitt Island School,Flower Pot-Glory Road,Pitt Island,Chatham Islands,Area Outside,,
Pleasant Point Primary School,33 Halstead Road,,Pleasant Point,Canterbury,171.132164,-44.257422
Prebbleton School,Blakes Road,,Prebbleton,Canterbury,172.51305,-43.577069
Queenspark School,222 Queenspark Drive,Parklands,Christchurch,Canterbury,172.695976,-43.473153
Rakaia School,Dunford Street,,Rakaia,Canterbury,172.022779,-43.751463
Rangiora Borough School,King Street,,Rangiora,Canterbury,172.590268,-43.305375
Redcliffs School,Van Asch Deaf Education Centre Truro St,Sumner,Christchurch,Canterbury,172.758806,-43.579766
Redwood School (Christchurch),51 Prestons Road,Redwood,Christchurch,Canterbury,172.621946,-43.473601
Riccarton School,English Street,,Christchurch,Canterbury,172.564135,-43.533358
Rolleston School,11 Tennyson Street,,Rolleston,Canterbury,172.381331,-43.592486
Ross School,Moorhouse Street,,Ross,West Coast,170.81676,-42.89785
Rotherham School,71 George Street,,Rotherham,Canterbury,172.944198,-42.698448
Te Komanawa Rowley School,48 Rowley Avenue,Hoon Hay,Christchurch,Canterbury,172.58776,-43.562247
Te Ara Maurea Roydvale School,117 Roydvale Avenue,Burnside,Christchurch,Canterbury,172.56314,-43.49448
Runanga School,Mcgowan Street,,Runanga,West Coast,171.252152,-42.399332
Russley School,75 Cutts Road,Avonhead,Christchurch,Canterbury,172.544696,-43.517891
Sacred Heart School (Timaru),54 Heaton Street,,Timaru,Canterbury,171.24854,-44.401805
Sefton School,603 Upper Sefton Road,,Sefton,Canterbury,172.672869,-43.246708
Sheffield Contributing School,Wrights Road,,Sheffield,Canterbury,172.025353,-43.39094
Shirley Intermediate,60 Shirley Road,Shirley,Christchurch,Canterbury,172.661636,-43.508308
Shirley Primary School,11 Shirley Road,Shirley,Christchurch,Canterbury,172.653144,-43.507883
Wigram Primary School - Te Piki Kahu,34 Springs Road,Wigram,Christchurch,Canterbury,172.5429,-43.545775
Somerfield Te Kura Wairepo,42 Studholme Street,Somerfield,Christchurch,Canterbury,172.628529,-43.56164
South Hornby School,35 Amyes Road,Hornby,Christchurch,Canterbury,172.529039,-43.547117
South New Brighton School,160 Estuary Road,South New Brighton,Christchurch,Canterbury,172.733519,-43.526215
Southbridge School,25 Hastings Street,,Southbridge,Canterbury,172.251653,-43.809037
Southbrook School,26 Marshall Street,,Rangiora,Canterbury,172.599811,-43.321612
Spreydon School,50 Hoon Hay Road,Hoon Hay,Christchurch,Canterbury,172.597919,-43.55757
Springfield School,2 Tawera Lane,,Springfield,Canterbury,171.932492,-43.337468
Springston School,Leeston Road,,Springston,Canterbury,172.425726,-43.644581
St Albans Catholic School (Christchurch),49 Rutland Street,St Albans,Christchurch,Canterbury,172.629087,-43.507126
St Albans School,17 Sheppard Place,St Albans,Christchurch,Canterbury,172.63438,-43.50877
St Andrew's School (Timaru),21 Bluecliffs Road,,St Andrews,Canterbury,171.188014,-44.52847
St Anne's School (Woolston),739 Ferry Road,Woolston,Christchurch,Canterbury,172.685572,-43.550378
St Bernadette's School (Hornby),74 Hei Hei Road,Hornby,Christchurch,Canterbury,172.525337,-43.533479
St James School (Aranui),Rowan Avenue,Aranui,Christchurch,Canterbury,172.704852,-43.511725
St Joseph's School (Ashburton),87 Havelock Street,,Ashburton,Canterbury,171.746219,-43.901127
St Joseph's School (Pleasant Point),29 Afghan Street,,Pleasant Point,Canterbury,171.131701,-44.261835
St Joseph's School (Fairlie),3 Gall Street,,Fairlie,Canterbury,170.827607,-44.104204
St Joseph's School (Kaikoura),30 Ludstone Road,,Kaikoura,Canterbury,173.675492,-42.399976
St Joseph's School (Papanui),4 Vagues Road,Papanui,Christchurch,Canterbury,172.614436,-43.488669
St Joseph's School (Temuka),Wilkin Street,,Temuka,Canterbury,171.284593,-44.244126
St Joseph's School (Timaru),50 Kelvin Street,,Timaru,Canterbury,171.225097,-44.378506
St Martins School,Albert Terrace,St Martins,Christchurch,Canterbury,172.657224,-43.565428
St Mary's School (Christchurch),375 Manchester Street,,Christchurch,Canterbury,172.639253,-43.523222
St Mary's School (Hokitika),87 Sewell Street,,Hokitika,West Coast,170.965597,-42.71574
St Patrick's School (Bryndwr),57 Plynlimon Road,Bryndwr,Christchurch,Canterbury,172.604041,-43.511235
